EXP 378 Samples Processing Log,,,,,,,,,,Age model based on CCSF-ABCDE-20200924,,,,,,,Ich Accum (prelim),,,Dry log,,Initial wash (DI water whole sample),,,,Acid Wash,,,Heavy Liquid Step,,,Alizarin Dye Step,,,Picking Log,,,>150 um,,,106-150 um,,,63-106 um,,,38-63 um,,,Don't edit this one,Edit this one!,,Imaging Log,Yale keyence only,,,Segmenting,"Green = complete ""final"" segment",
Serial #,Exp,Site,Hole,Core,Core Type,Sect,Half,Top (cm),Bottom (cm),Top depth CCSF-378-U1553-ABCDE-20200924 (m),Bottom depth CCSF-378-U1553-ABCDE-20200924 (m),Mid-depth CCSF (calc),Age (Linear Interpolation),Sedimentation Rate (cm/Kyr),Sedimentation Rate (cm/Myr),"DBD (variable, g/cm^3)",ich/cm2/myr,Point Person,Time Period,Into Oven,Out of oven,Date washed,Washed by,Dry Weight,Notes,Date acidified,Acidified by,Notes,Date Separated,Separated by,Notes,Date in Alizarin,Dyed by,Dye notes,Picked By,Date started,Date Ended,Dent,Teeth,Frag,Dent,Teeth,Frag,Dent,Teeth,Frag,Dent,Teeth,Frag,Total Ichthyoliths,Total Ichthyoliths (manual),Notes on Picking,Date photographed,Photographed by,Hole 1 zoom level,Hole 2 zoom level (if relevant),Threshold Hole 1,Threshold Hole 2,
48,378,U1553,A,24,X,2,W,54,58,196.27,196.31,196.29,35.24872782,1.187892377,1187.892377,1.19852991,#DIV/0!,Iszac,,19-Dec,24-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
49,378,U1553,B,22,X,1,W,86,93,197.09,197.16,197.125,35.31902039,1.187892377,1187.892377,1.20240415,0,Iszac,,24-Jan,8-Feb,6/2/22,IMH,47.488,,6/15/22,IMH,Forgot to sieve >150,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
50,378,U1553,B,22,X,3,W,85,92,200.08,200.15,200.115,35.55279269,1.279022327,1279.022327,1.21627717,#DIV/0!,Iszac,,19-Dec,24-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
51,378,U1553,B,23,X,2,W,23,29,204.52,204.58,204.55,35.70823266,2.853191489,2853.191489,1.2368547,0,Iszac,,1-Feb,14-Feb,5/25/22,IMH,44.119,,5/27/22,IMH,,6/1/22,ECS/IMH,crystallized,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
52,378,U1553,A,25,X,3,W,122,126,206.95,206.99,206.97,35.79304996,2.853191489,2853.191489,1.24042276,#DIV/0!,Iszac,,19-Jan,1-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
53,378,U1553,B,24,X,3,W,4,10,210.54,210.6,210.57,35.91922446,2.853191489,2853.191489,1.22930829,#DIV/0!,Iszac,,1-Feb,15-Feb,,IMH,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
54,378,U1553,A,26,X,1,W,46,50,217.26,217.3,217.28,36.47897872,1.19874031,1198.74031,1.23192683,8762.704487,Iszac,,21-Nov,21-Dec,2/8/22,IMH,33.2,,5/16/22,IMH,,5/26/22,ECS,,,,,IMH/ECS,6/1/22,6/29/22,,,,1,7,7,0,42,21,0,147,57,197,197,,,,,,,,
55,378,U1553,B,26,X,4,W,23,29,231.05,231.11,231.08,38.04982979,0.878504673,878.5046729,1.14961364,#DIV/0!,Iszac,,19-Dec,24-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
56,378,U1553,B,26,X,5,W,110,118,233.42,233.5,233.46,38.18579503,1.750447405,1750.447405,1.04243333,#DIV/0!,Iszac,,1-Feb,15-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
57,378,U1553,B,27,X,1,W,1,5,235.9,235.94,235.92,38.24449887,4.190526316,4190.526316,1.05063333,0,Iszac,,19-Jan,1-Feb,5/26/22,IMH,33.284,,5/31/22,IMH,,6/28/22,IMH,stuck to bottom,,,,,,,,,,,,,,,,,,,0,0,,,IMH,200x,200x,0.2,0.3,
58,378,U1553,E,26,X,2,W,7,11,243.66,243.7,243.68,38.42967847,4.190526316,4190.526316,1.25467404,#DIV/0!,Iszac,,1-Feb,15-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
59,378,U1553,E,26,X,3,W,80,86,245.89,245.95,245.92,38.48313238,4.190526316,4190.526316,1.282167,0,Iszac,,19-Dec,24-Jan,6/2/22,IMH,42.76,,6/15/22,IMH,Forgot to sieve >150; had to do 2 days of acidification (washed & dried between) - also lost sample in pouring from sieve to filter paper (~10mL of liquid) ,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
60,378,U1553,E,26,X,4,W,141,150,248,248.09,248.045,38.533842,4.190526316,4190.526316,1.30824849,#DIV/0!,Evie,,1-Feb,15-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
61,378,U1553,E,26,X,6,W,66,70,250.25,250.29,250.27,38.58693796,4.190526316,4190.526316,1.33555734,#DIV/0!,Evie,,19-Jan,1-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
62,378,U1553,B,28,X,1,W,85,89,250.87,250.91,250.89,38.60173323,4.190526316,4190.526316,1.343167,#DIV/0!,Evie,,1-Feb,15-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
63,378,U1553,E,27,X,2,W,125,129,255.08,255.12,255.1,38.70219794,4.190526316,4190.526316,1.31605882,#DIV/0!,Evie,,19-Dec,24-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
